,timestamp,location,track,week,pacing,rating
16,6/24/2016 13:20:57,,Apps,,3,8
17,6/24/2016 13:27:16,,Apps,,3,8
18,6/24/2016 13:33:49,,Apps,,3,8
19,6/24/2016 13:37:25,,Apps,,3,8
20,6/24/2016 13:38:57,,Apps,,3,8
21,6/23/2016 16:11:39,,Apps,,4,8
22,6/24/2016 9:51:03,,Apps,,4,8
23,6/24/2016 13:58:11,,Apps,,4,8
24,6/24/2016 14:07:33,,Apps,,4,8
25,6/24/2016 15:34:30,,Apps,,4,8
26,6/24/2016 13:16:51,,Apps,,5,8
27,6/24/2016 14:05:35,,Apps,,5,8
28,6/25/2016 20:09:34,,Apps,,2,8
29,6/24/2016 13:32:30,,Apps,,2,10
30,6/24/2016 14:05:44,,Apps,,2,10
31,6/23/2016 13:17:43,,Apps,,3,10
32,6/23/2016 14:44:06,,Apps,,3,10
33,6/24/2016 9:49:15,,Apps,,3,10
34,6/24/2016 9:49:18,,Apps,,3,10
35,6/24/2016 9:50:06,,Apps,,3,10
36,6/24/2016 9:50:19,,Apps,,3,10
37,6/24/2016 11:34:57,,Apps,,3,10
38,6/24/2016 13:05:10,,Apps,,3,10
39,6/24/2016 13:07:59,,Apps,,3,10
40,6/24/2016 13:09:46,,Apps,,3,10
41,6/24/2016 13:18:32,,Apps,,3,10
42,6/24/2016 13:27:04,,Apps,,3,10
43,6/24/2016 13:27:52,,Apps,,3,10
44,6/24/2016 13:38:21,,Apps,,3,10
45,6/24/2016 13:38:29,,Apps,,3,10
46,6/24/2016 14:01:31,,Apps,,3,10
47,6/24/2016 15:38:31,,Apps,,3,10
48,6/23/2016 13:19:41,,Apps,,4,10
49,6/23/2016 13:19:58,,Apps,,4,10
50,6/24/2016 9:50:59,,Apps,,4,10
51,6/24/2016 9:51:08,,Apps,,4,10
52,6/24/2016 11:05:49,,Apps,,4,10
53,6/24/2016 13:34:12,,Apps,,4,10
54,6/24/2016 15:38:21,,Apps,,4,10
55,6/24/2016 16:23:30,,Apps,,4,10
56,6/25/2016 19:10:35,,Apps,,3,10
57,6/25/2016 21:41:09,,Apps,,3,10
58,6/24/2016 13:34:08,,Games,,3,8
59,6/24/2016 13:36:37,,Games,,3,8
60,6/24/2016 13:39:47,,Games,,4,8
61,6/24/2016 13:32:17,,Games,,3,10
62,6/24/2016 13:34:38,,Games,,3,10
63,6/24/2016 13:35:43,,Games,,3,10
64,6/24/2016 13:36:49,,Games,,3,10
65,6/24/2016 14:11:08,,Games,,3,10
66,6/24/2016 13:35:31,,Games,,4,10
67,6/24/2016 13:45:54,,Games,,4,10
68,6/27/2016 15:01:42,,Intro,,3,6
69,6/24/2016 11:41:34,,Intro,,3,8
70,6/24/2016 11:47:36,,Intro,,3,8
71,6/24/2016 13:36:03,,Intro,,3,8
72,6/24/2016 13:42:02,,Intro,,3,8
73,6/24/2016 13:45:04,,Intro,,3,8
74,6/24/2016 13:47:15,,Intro,,3,8
75,6/24/2016 11:42:30,,Intro,,4,8
76,6/24/2016 12:58:35,,Intro,,4,8
77,6/26/2016 22:45:58,,Intro,,4,8
78,6/24/2016 11:41:47,,Intro,,2,10
79,6/24/2016 11:41:42,,Intro,,3,10
80,6/24/2016 11:53:29,,Intro,,3,10
81,6/24/2016 13:33:35,,Intro,,3,10
82,6/24/2016 13:56:06,,Intro,,3,10
83,6/24/2016 16:19:53,,Intro,,3,10
84,6/24/2016 11:53:20,,Intro,,4,10
85,6/24/2016 14:21:25,,Intro,,4,10
86,6/24/2016 13:20:34,,Intro,,5,10
87,6/24/2016 13:41:56,,Intro,,5,10
88,6/26/2016 23:32:51,,Intro,,3,10
89,6/29/2016 22:39:27,,VR,,3,6
90,6/24/2016 13:30:31,,VR,,3,10
91,6/24/2016 14:41:17,,VR,,3,10
92,6/24/2016 17:29:38,,VR,,3,10
0,6/30/2016 14:09:14,,,,2,8
